rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ra,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,pl_name,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_mnum,gaia_plx,gaia_plxerr1,gaia_plxerr2,gaia_plxlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,gaia_pmra,gaia_pmraerr,gaia_pmralim,gaia_pmdec,gaia_pmdecerr,gaia_pmdeclim,gaia_pm,gaia_pmerr,gaia_pmlim,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvblend,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggblend,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumblend,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metfeblend,st_age,st_ageerr1,st_ageerr2,st_agelim,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_vsiniblend,st_acts,st_actserr,st_actslim,st_actsblend,st_actlx,st_actlxerr,st_actlxlim,st_actlxblend,st_uj,st_ujerr,st_ujlim,st_ujblend,st_vj,st_vjerr,st_vjlim,st_vjblend,st_bj,st_bjerr,st_bjlim,st_bjblend,st_rc,st_rcerr,st_rclim,st_rcblend,st_ic,st_icerr,st_iclim,st_icblend,st_j,st_jerr,st_jlim,st_jblend,st_h,st_herr,st_hlim,st_hblend,st_k,st_kerr,st_klim,st_kblend,st_wise1,st_wise1err,st_wise1lim,st_wise1blend,st_wise2,st_wise2err,st_wise2lim,st_wise2blend,st_wise3,st_wise3err,st_wise3lim,st_wise3blend,st_wise4,st_wise4err,st_wise4lim,st_wise4blend,st_irac1,st_irac1err,st_irac1lim,st_irac1blend,st_irac2,st_irac2err,st_irac2lim,st_irac2blend,st_irac3,st_irac3err,st_irac3lim,st_irac3blend,st_irac4,st_irac4err,st_irac4lim,st_irac4blend
1,11 Com,b,1,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,19.40000,1.50000,-1.50000,0,,,,,185.179276,17.792868,110.62,9.61,-11.63,0,4.740,,0,0,V (Johnson),,,,4742.00,100.00,-100.00,0,0,2.70,0.30,-0.30,0,0,19.00,2.00,-2.00,0,0,11 Com b,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5.00,K0 III,,0,0,2.31,0.10,-0.10,0,0,2.243,0.071,-0.085,0,0,-0.350,0.090,-0.090,0,0,,,,,1.2000,1.0000,-1.0000,0,0,,,,,,,,,6.540,,0,0,4.740,,0,0,5.750,,0,0,,,,,,,,,2.943,0.334,0,0,2.484,0.268,0,0,2.282,0.346,0,0,0.639,,-1,1,0.732,,-1,1,2.358,0.010,0,0,2.270,0.018,0,0,,,,,,,,,,,,,,,,
2,11 UMi,b,1,516.22000000,3.25000000,-3.25000000,0,1.540000,0.070000,-0.070000,0,10.50000,2.47000,-2.47000,0,,,,,229.274536,71.823898,119.47,6.22,-6.95,0,5.016,0.009,0,0,V (Johnson),4.723,,0,4340.00,70.00,-70.00,0,0,1.80,0.25,-0.25,0,0,24.08,1.84,-1.84,0,0,11 UMi b,,,,,,,,,0,7.47,0.66,-0.66,,133.86,13.00,-10.88,,4.100,0.000,,9.500,0.000,,10.400,0.000,,,,,,,5.40,K4 III,,0,0,1.60,0.15,-0.15,0,0,,,,,,0.040,0.040,-0.040,0,0,1.560,0.540,-0.540,0,1.5000,,,0,0,,,,,,,,,,,,,5.016,0.009,0,0,6.385,0.015,0,0,,,,,,,,,2.876,0.230,0,0,2.091,0.194,0,0,1.939,0.270,0,0,-0.290,,-1,1,0.143,,-1,1,1.894,0.012,0,0,1.787,0.013,0,0,,,,,,,,,,,,,,,,
3,14 And,b,1,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,4.80000,,,0,,,,,352.822571,39.236198,76.39,3.93,-4.38,0,,,,,,,,,4813.00,20.00,-20.00,0,0,2.20,0.10,-0.20,0,0,11.00,1.00,-1.00,0,0,14 And b,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4.80,G8 III,,0,0,2.63,0.07,-0.07,0,0,1.763,,,0,0,-0.240,0.030,-0.030,0,0,,,,,2.6000,,,0,0,0.095,0.004,0,0,,,,,7.100,,0,0,,,,,6.240,,0,0,,,,,,,,,3.019,0.180,0,0,2.608,0.184,0,0,2.331,0.240,0,0,1.592,,-1,1,2.545,0.524,0,1,2.719,0.016,0,0,2.719,0.023,0,0,,,,,,,,,,,,,,,,
4,14 Her,b,1,1773.40000000,2.50000000,-2.50000000,0,2.770000,0.050000,-0.050000,0,4.64000,0.19000,-0.19000,0,,,,,242.601303,43.817646,18.15,0.19,-0.20,0,6.610,0.020,0,0,V (Johnson),6.325,,0,5311.00,87.00,-87.00,0,0,0.90,0.05,-0.05,0,0,,,,,0,14 Her b,,,,,,,,,0,55.93,0.24,-0.24,,17.88,0.08,-0.08,,132.600,0.000,,-298.000,0.000,,326.200,0.000,,,,,,0,5.00,K0 V,,0,0,,,,,0,,,,,0,0.430,0.080,-0.080,0,0,,,,0,1.6000,0.5000,-0.5000,0,0,0.161,0.021,0,0,,,,,,,,,6.610,0.020,0,0,7.490,0.020,0,0,,,,,,,,,5.158,0.029,0,0,4.803,0.016,0,0,4.714,0.016,0,0,4.676,0.173,0,0,4.543,0.086,0,0,4.721,0.014,0,0,4.674,0.025,0,0,,,,,,,,,,,,,,,,
5,16 Cyg B,b,1,798.50000000,1.00000000,-1.00000000,0,1.681000,0.097000,-0.097000,0,1.68000,0.15000,-0.15000,0,,,,,295.466553,50.517525,21.41,0.23,-0.23,0,6.250,,0,0,V (Johnson),6.021,,0,5674.00,,,0,0,0.99,,,0,0,,,,,0,16 Cyg B b,,,,,,,,,0,47.12,0.23,-0.23,,21.22,0.10,-0.10,,-134.500,0.000,,-162.800,0.000,,211.100,0.000,,-28.10,0.10,-0.10,0,0,4.25,G2.5 V,,0,0,4.36,,,0,0,,,,,0,0.038,,,0,0,,,,0,2.1800,,,0,0,0.148,0.019,0,0,,,,,7.070,,0,0,6.250,,0,0,6.910,,0,0,,,,,,,,,4.993,0.037,0,0,4.695,0.036,0,0,4.651,0.016,0,0,4.773,0.236,0,1,4.568,0.106,0,1,4.926,0.033,0,1,4.713,0.028,0,0,,,,,,,,,,,,,,,,
6,18 Del,b,1,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,10.30000,,,0,,,,,314.608063,10.839286,73.10,3.56,-3.94,0,,,,,,,,,4979.00,18.00,-18.00,0,0,2.30,,,0,0,8.50,,,0,0,18 Del b,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4.60,G6 III,,0,0,2.82,0.06,-0.06,0,0,1.602,,,0,0,-0.052,0.023,-0.023,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6.430,0.014,0,0,,,,,,,,,4.032,0.236,0,1,3.440,0.186,0,0,3.366,0.204,0,1,3.370,0.373,0,0,2.931,0.416,0,0,3.355,0.013,0,0,3.308,0.025,0,0,,,,,,,,,,,,,,,,
7,1RXS J160929.1-210524,b,1,,,,,330.000000,,,0,8.00000,1.00000,-1.00000,0,,,,,242.376268,-21.083036,145.00,14.00,-14.00,0,,,,,,,,,4060.00,300.00,-200.00,0,0,0.85,0.20,-0.10,0,0,,,,,0,1RXS J160929.1-210524 b,8.00000,1.00000,-1.00000,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5.70,K7 V,,0,0,,,,,0,-0.370,0.150,-0.150,0,0,,,,,0,0.005,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.820,0.027,0,0,9.121,0.023,0,0,8.916,0.021,0,0,8.794,0.022,0,0,8.790,0.020,0,0,8.684,0.028,0,0,8.531,0.370,0,0,,,,,,,,,,,,,,,,
8,24 Sex,b,2,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,1.99000,0.26000,-0.38000,0,,,,,155.868210,-0.902244,74.79,4.57,-5.21,0,6.441,0.010,0,0,V (Johnson),,,,5098.00,44.00,-44.00,0,0,1.54,0.08,-0.08,0,0,4.90,0.08,-0.08,0,0,24 Sex b,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5.00,K0 IV,,0,0,3.50,0.10,-0.10,0,0,1.164,0.003,-0.003,0,0,-0.030,0.040,-0.040,0,0,2.700,0.400,-0.400,0,2.7700,0.5000,-0.5000,0,0,,,,,,,,,,,,,6.441,0.010,0,0,7.399,0.015,0,0,,,,,,,,,5.292,0.338,0,0,4.486,0.076,0,0,4.285,0.016,0,0,4.094,0.327,0,0,3.598,0.156,0,0,4.254,0.015,0,0,4.201,0.024,0,0,,,,,,,,,,,,,,,,
9,24 Sex,c,2,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,0.86000,0.35000,-0.22000,0,,,,,155.868210,-0.902244,74.79,4.57,-5.21,0,6.441,0.010,0,0,V (Johnson),,,,5098.00,44.00,-44.00,0,0,1.54,0.08,-0.08,0,0,4.90,0.08,-0.08,0,0,24 Sex c,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5.00,K0 IV,,0,0,3.50,0.10,-0.10,0,0,1.164,0.003,-0.003,0,0,-0.030,0.040,-0.040,0,0,2.700,0.400,-0.400,0,2.7700,0.5000,-0.5000,0,0,,,,,,,,,,,,,6.441,0.010,0,0,7.399,0.015,0,0,,,,,,,,,5.292,0.338,0,0,4.486,0.076,0,0,4.285,0.016,0,0,4.094,0.327,0,0,3.598,0.156,0,0,4.254,0.015,0,0,4.201,0.024,0,0,,,,,,,,,,,,,,,,
10,2MASS J01225093-2439505,b,1,,,,,52.000000,6.000000,-6.000000,0,24.50000,2.50000,-2.50000,0,,,,,20.712243,-24.664049,36.00,4.00,-4.00,0,14.240,0.070,0,0,V (Johnson),,,,3530.00,50.00,-50.00,0,0,0.40,0.05,-0.05,0,0,,,,,,2MASS J01225093-2439505 b,24.50000,2.50000,-2.50000,0,,,,,0,,,,,,,,,,,,,,,,,,9.60,0.70,-0.70,0,0,6.35,M3.5 V,,0,0,,,,,,-1.720,0.110,-0.110,0,0,,,,,,0.120,0.010,-0.010,0,,,,,,,,,,,,,,,,,,14.240,0.070,0,0,,,,,,,,,,,,,10.084,0.026,0,0,9.470,0.021,0,0,9.198,0.024,0,0,9.022,0.023,0,0,8.857,0.019,0,0,8.747,0.031,0,0,8.298,0.317,0,0,,,,,,,,,,,,,,,,
11,2MASS J02192210-3925225,b,1,,,,,156.000000,10.000000,-10.000000,0,13.90000,1.10000,-1.10000,0,1.440,0.030,-0.030,0,34.842106,-39.422928,39.40,2.60,-2.60,0,,,,,,,,,3064.00,76.00,-76.00,0,0,0.11,0.01,-0.01,0,0,0.28,0.01,-0.01,0,0,2MASS J02192210-3925225 b,13.90000,1.10000,-1.10000,0,16.141,0.336,-0.336,0,0,,,,,,,,,,,,,,,,,,10.60,0.70,-0.70,0,0,6.60,M6,,0,0,4.59,0.06,-0.06,0,0,-2.230,0.060,-0.060,0,0,,,,,0,0.035,0.005,-0.005,0,6.5000,0.4000,-0.4000,0,0,,,,,,,,,,,,,,,,,18.500,,0,0,15.230,,0,0,13.420,0.030,0,0,11.381,0.023,0,0,10.811,0.026,0,0,10.404,0.023,0,0,10.148,0.023,0,0,9.901,0.020,0,0,9.614,0.037,0,0,9.001,,-1,0,,,,,,,,,,,,,,,,
12,2MASS J04414489+2301513,b,1,,,,,15.000000,,,0,7.50000,2.50000,-2.50000,0,,,,,70.437073,23.030941,140.00,,,0,,,,,,,,,,,,,,0.02,,,0,0,,,,,,2MASS J04414489+2301513 b,7.50000,2.50000,-2.50000,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,6.85,M8.5,,0,0,,,,,,,,,,,,,,,,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.419,0.025,0,1,13.726,0.029,0,0,13.161,0.025,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2MASS J12073346-3932539,b,1,,,,,46.000000,5.000000,-5.000000,0,4.00000,1.00000,-1.00000,0,,,,,181.889447,-39.548332,52.40,1.10,-1.10,0,20.150,0.190,0,0,V (Johnson),,,,,,,,,0.02,,,0,0,,,,,,2MASS J12073346-3932539 b,4.00000,1.00000,-1.00000,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,6.80,M8,,0,0,,,,,,,,,,,,,,,,0.008,0.004,-0.003,0,,,,,,,,,,,,,,,,,,20.150,0.190,0,0,,,,,,,,,,,,,12.995,0.026,0,0,12.388,0.027,0,0,11.945,0.026,0,0,11.574,0.023,0,0,11.017,0.020,0,0,9.469,0.031,0,0,8.121,0.174,0,0,,,,,,,,,,,,,,,,
14,2MASS J19383260+4603591,b,1,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,1.90000,0.10000,-0.10000,0,,,,,294.635865,46.066418,,,,,12.264,,0,0,Kepler-band,,,,,,,,0,0.48,0.03,-0.03,0,0,,,,,0,2MASS J19383260+4603591 b,1.90000,0.10000,-0.10000,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.757,0.022,0,0,12.889,0.020,0,0,12.955,0.029,0,0,12.862,0.023,0,0,12.920,0.024,0,0,12.670,0.270,0,0,9.203,,-1,0,,,,,,,,,,,,,,,,
15,2MASS J21402931+1625183 A,b,1,7336.50000000,1934.50000000,-584.00000000,0,,,,,20.95000,83.79000,-20.95000,0,0.920,0.390,-0.360,0,325.122159,16.421759,25.00,10.00,-10.00,0,,,,,,,,,2300.00,80.00,-80.00,0,0,0.08,0.06,-0.06,0,0,0.12,0.05,-0.04,0,0,2MASS J21402931+1625183 A b,20.95000,83.79000,-20.95000,0,10.310,4.370,-4.040,0,0,,,,,,,,,,,,,,,,,,13.00,0.20,-0.20,0,0,6.85,M8.5,,0,0,,,,,,-3.480,0.350,-0.350,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.940,0.033,0,1,12.266,0.040,0,1,11.826,0.031,0,1,11.375,0.022,0,0,11.135,0.020,0,0,10.687,0.096,0,0,8.971,,-1,0,,,,,,,,,,,,,,,,
